Property Title,Property Price,Property URL
"74 New Montgomery St Unit 317San Francisco, CA 94105","$361,677",/realestateandhomes-detail/74-New-Montgomery-St-Unit-317_San-Francisco_CA_94105_M26727-17479?from=srp-list-card
74 New Montgomery St Unit 317,"$25,000,000",/realestateandhomes-detail/74-New-Montgomery-St-Unit-317_San-Francisco_CA_94105_M26727-17479?from=srp-list-card
"San Francisco, CA 94105","$599,500",/realestateandhomes-detail/540-El-Camino-Del-Mar_San-Francisco_CA_94121_M15476-42108?from=srp-list-card
"540 El Camino Del Mar StSan Francisco, CA 94121","$19,800,000",/realestateandhomes-detail/540-El-Camino-Del-Mar_San-Francisco_CA_94121_M15476-42108?from=srp-list-card
540 El Camino Del Mar St,"$1,000,000",/realestateandhomes-detail/1947-Fulton-St_San-Francisco_CA_94117_M13454-37103?from=srp-list-card
"San Francisco, CA 94121","$999,000",/realestateandhomes-detail/1947-Fulton-St_San-Francisco_CA_94117_M13454-37103?from=srp-list-card
"1947 Fulton StSan Francisco, CA 94117","$36,000,000",/realestateandhomes-detail/130-Sea-Cliff-Ave_San-Francisco_CA_94121_M18690-98128?from=srp-list-card
1947 Fulton St,"$899,000",/realestateandhomes-detail/130-Sea-Cliff-Ave_San-Francisco_CA_94121_M18690-98128?from=srp-list-card
"San Francisco, CA 94117","From$899,000",/realestateandhomes-detail/1079-Lombard-St-101_San-Francisco_CA_94109_M92837-70504?from=srp-list-card
"130 Sea Cliff AveSan Francisco, CA 94121","$475,000",/realestateandhomes-detail/1079-Lombard-St-101_San-Francisco_CA_94109_M92837-70504?from=srp-list-card
130 Sea Cliff Ave,"$798,000",/realestateandhomes-detail/783-Faxon-Ave_San-Francisco_CA_94112_M21933-03604?from=srp-list-card
"San Francisco, CA 94121","$598,000",/realestateandhomes-detail/783-Faxon-Ave_San-Francisco_CA_94112_M21933-03604?from=srp-list-card
"1079 Lombard St Unit 101San Francisco, CA 94109","$699,000",/realestateandhomes-detail/3630-Jackson-St_San-Francisco_CA_94118_M26693-58349?from=srp-list-card
1079 Lombard St Unit 101,"$1,188,900",/realestateandhomes-detail/3630-Jackson-St_San-Francisco_CA_94118_M26693-58349?from=srp-list-card
"San Francisco, CA 94109","$1,299,000",/realestateandhomes-detail/26C-Woodland-Ave_San-Francisco_CA_94117_M95170-55767?from=srp-list-card
